Module:,Nucleic Acid,,The import program will only process the lines having a valid date in column C,,,,,,,,
Path:,10 mm,,"It expects columns A, B, D, E to be Sample #, Date, Time and Concentration respectively",,,,,,,,
Software:,3.7.1,,"It expects columns F through N to have a valid header (on the line that has ""Date"" in columns C)",,,,,,,,
Firmware:,USB2000 2.41.3 ND2,,"     Valid headers are:   A280, A260, 260/280, 260/230, Location, Box, Position, Method, Notes",,,,,,,,
,,,"If the column Method is used, it must contain valid medgis codes for the method field",,,,,,,,
,,,,,,,,,,,
Sample ID,User ID,Date,Time,concentration,A280,260/280,260/230,Location,Box,Position,Method
TEST200801,BG/RO,4/24/19,2:18:06 PM,36,0,,,,96969,A1,Chemagic 1
TEST200802,BG/RO,4/24/19,2:18:06 PM,142,0,,,,96969,B1,Chemagic 1
TEST200803,BG/RO,4/24/19,2:18:06 PM,28,0,,,,96969,C1,Chemagic 1
TEST200804,BG/RO,4/24/19,2:18:06 PM,131,0,,,,96969,D1,Chemagic 1
TEST200805,BG/RO,4/24/19,2:18:06 PM,190,0,,,,96969,E1,Chemagic 1
TEST200806,BG/RO,4/24/19,2:18:06 PM,200,0,,,,96969,F1,Chemagic 1
TEST200807,BG/RO,4/24/19,2:18:06 PM,104,0,,,,96969,G1,Chemagic 1
TEST200808,BG/RO,4/24/19,2:18:06 PM,184,0,,,,96969,H1,Chemagic 1
TEST200809,BG/RO,4/24/19,2:18:06 PM,16,0,,,,96969,A2,Chemagic 1
TEST200810,BG/RO,4/24/19,2:18:06 PM,130,0,,,,96969,B2,Chemagic 1
TEST200811,BG/RO,4/24/19,2:18:06 PM,52,0,,,,96969,C2,Chemagic 1
TEST200812,BG/RO,4/24/19,2:18:06 PM,89,0,,,,96969,D2,Chemagic 1
TEST200813,BG/RO,4/24/19,2:18:06 PM,34,0,,,,96969,E2,Chemagic 1
TEST200814,BG/RO,4/24/19,2:18:06 PM,197,0,,,,96969,F2,Chemagic 1
TEST200815,BG/RO,4/24/19,2:18:06 PM,166,0,,,,96969,G2,Chemagic 1
TEST200816,BG/RO,4/24/19,2:18:06 PM,192,0,,,,96969,H2,Chemagic 1
TEST200817,BG/RO,4/24/19,2:18:06 PM,99,0,,,,96969,A3,Chemagic 1
TEST200818,BG/RO,4/24/19,2:18:06 PM,137,0,,,,96969,B3,Chemagic 1
TEST200819,BG/RO,4/24/19,2:18:06 PM,96,0,,,,96969,C3,Chemagic 1